zipcode,ID,"Population, 2016",city,population,unit,area,pop density,f_x_peak,lambda0,rho_mg1_array,radius_mg1_array,obj_mg1_array,lamb_endo_mg1_array,wait_endo_mg1_array,rho_pooling_array,radius_pooling_array,t_pooling_array,obj_pooling_array,lamb_endo_pooling_array,wait_endo_pooling_array,mode_opt_array,maximum profit,choice prob
M6R,0,19857,Toronto,"18,202",km²,2.347,8460.58798466127,423.0293992330635,35.252449936088624,2.0,0.20588235294117646,3773.5798426429656,18.224107352484623,0.31419958515087965,2.0,0.20147058823529412,0.08333333333333333,3885.437204107059,18.71697652437771,0.26973337511784906,1.0,3885.437204107059,0.5309411560986794
M6A,1,21048,Yorkville,"20,004",km²,5.6,3758.571428571429,187.92857142857144,15.660714285714286,1.9052631578947368,0.0,1994.0655702590366,11.040032546427376,0.12724130186647387,1.9052631578947368,0.18088235294117647,0.08333333333333333,1421.4520387449131,8.260116708816678,0.34554898984774884,0.0,1994.0655702590366,0.7049507669326488
M6B,2,28522,—,"30,347",km²,5.3,5381.509433962265,269.07547169811323,22.42295597484277,2.0,0.014705882352941176,2813.373680562347,14.824215724844027,0.2856991958320677,2.0,0.18088235294117647,0.08333333333333333,2269.7230856532187,11.88441704055587,0.33524771467216974,0.0,2813.373680562347,0.6611178178950144
M6E,3,38041,Toronto,"40,751",km²,5.0,7608.2,380.41,31.700833333333335,2.0,0.1764705882352941,3521.774169459098,17.251023357796477,0.29311999294084556,2.0,0.20147058823529412,0.08333333333333333,3427.761858445865,16.781843382991052,0.2759876367089846,0.0,3521.774169459098,0.5441820149143233
M6H,4,44950,Toronto,"44,169",km²,4.66,9645.922746781116,482.2961373390558,40.19134477825465,2.0,0.25,4023.7233376103973,19.122759932817054,0.3459017999754439,2.0,0.20147058823529412,0.08333333333333333,4504.2724538139155,21.309732610634555,0.2727004304622685,1.0,4504.2724538139155,0.5302070067126515
M6K,5,40957,Toronto,"38,814",km²,2.79,14679.928315412186,733.9964157706094,61.16636798088411,2.0,0.39705882352941174,4665.962001057862,21.387977221757268,0.42923498604772187,2.0,0.20147058823529412,0.08333333333333333,7111.201084040028,32.231743444675786,0.2858398818915649,1.0,7111.201084040028,0.5269520572931344
M5V,6,49195,Toronto,"28,887",km²,3.65,13478.082191780823,673.9041095890411,56.15867579908676,2.0,0.3676470588235294,4574.229102983073,21.071105038241974,0.40621941898813707,2.0,0.20147058823529412,0.08333333333333333,6514.086940106252,29.7459420215951,0.27488127310623317,1.0,6514.086940106252,0.5296766990734283
M6J,7,32684,Toronto,"31,255",km²,2.856,11443.977591036415,572.1988795518208,47.68323996265173,2.0,0.3235294117647059,4314.453042777657,20.09838107187395,0.3444940708717015,2.0,0.20147058823529412,0.08333333333333333,5435.039037879064,25.20550732453507,0.27916870986490233,1.0,5435.039037879064,0.5286030761390685
M6G,8,32086,Toronto,"34,749",km²,3.821,8397.278199424234,419.86390997121174,34.988659164267645,2.0,0.20588235294117646,3747.069949070275,18.108350816228754,0.31194217725210355,2.0,0.20147058823529412,0.08333333333333333,3848.0308989831983,18.55446280737761,0.272311949448492,1.0,3848.0308989831983,0.5302993384303922
M6C,9,24596,—,"23,289",km²,3.02,8144.3708609271525,407.21854304635764,33.93487858719647,2.0,0.1764705882352941,3714.8983779471646,18.10053434125096,0.33652882272079926,2.0,0.20147058823529412,0.08333333333333333,3726.0319738174053,18.05777092242554,0.2649493011876551,1.0,3726.0319738174053,0.5333902785224709
