zipcode,ID,"Population, 2016",city,population,unit,area,pop density,f_x_peak,lambda0,rho_mg1_array,radius_mg1_array,obj_mg1_array,lamb_endo_mg1_array,wait_endo_mg1_array,rho_pooling_array,radius_pooling_array,t_pooling_array,obj_pooling_array,lamb_endo_pooling_array,wait_endo_pooling_array,mode_opt_array,maximum profit,choice prob
M6R,0,19857,Toronto,"18,202",km²,2.347,8460.58798466127,423.0293992330635,35.252449936088624,2.0,0.20588235294117646,3526.047194859931,17.143245905831165,0.21851555996052513,2.0,0.2426470588235294,0.08333333333333333,3423.4668145013356,16.877455897754714,0.17772093761245836,0.0,3526.047194859931,0.48629941853434955
M6A,1,21048,Yorkville,"20,004",km²,5.6,3758.571428571429,187.92857142857144,15.660714285714286,2.0,0.0,1919.0007767412521,10.749407597800833,0.10702680591923411,2.0,0.2323529411764706,0.08333333333333333,1203.0587822375626,7.563700512491039,0.18467514200217708,0.0,1919.0007767412521,0.686393187544865
M6B,2,28522,—,"30,347",km²,5.3,5381.509433962265,269.07547169811323,22.42295597484277,2.0,0.029411764705882353,2639.246625742945,13.954912123048246,0.20582094618046742,2.0,0.2426470588235294,0.08333333333333333,1967.8088708486507,10.77554507284303,0.17407681065073113,0.0,2639.246625742945,0.6223493520972361
M6E,3,38041,Toronto,"40,751",km²,5.0,7608.2,380.41,31.700833333333335,2.0,0.1764705882352941,3288.911523480779,16.226711714302652,0.2114554221119405,2.0,0.2426470588235294,0.08333333333333333,3003.7639679940785,15.098215588671483,0.18270069658066887,0.0,3288.911523480779,0.5118701941895109
M6H,4,44950,Toronto,"44,169",km²,4.66,9645.922746781116,482.2961373390558,40.19134477825465,2.0,0.25,3760.7372851329496,17.985930442498603,0.2300283634836174,2.0,0.2426470588235294,0.08333333333333333,3976.360940641219,19.19129168686462,0.1802642623984345,1.0,3976.360940641219,0.4774981228607206
M6K,5,40957,Toronto,"38,814",km²,2.79,14679.928315412186,733.9964157706094,61.16636798088411,2.0,0.38235294117647056,4386.262428850381,20.239066753623465,0.2783095215627862,2.0,0.2529411764705882,0.08333333333333333,6291.707798069345,28.900140162239772,0.17491121672429147,1.0,6291.707798069345,0.47248416272275195
M5V,6,49195,Toronto,"28,887",km²,3.65,13478.082191780823,673.9041095890411,56.15867579908676,2.0,0.3529411764705882,4295.178615696641,19.927842817175225,0.26926144972739585,2.0,0.2426470588235294,0.08333333333333333,5779.37872858126,26.757271567662887,0.18238831514359674,1.0,5779.37872858126,0.4764583777471834
M6J,7,32684,Toronto,"31,255",km²,2.856,11443.977591036415,572.1988795518208,47.68323996265173,2.0,0.3088235294117647,4037.957539952913,18.966335074256897,0.24381298205049137,2.0,0.2426470588235294,0.08333333333333333,4801.64984205232,22.64013948902734,0.18568984985678497,1.0,4801.64984205232,0.47480287637250335
M6G,8,32086,Toronto,"34,749",km²,3.821,8397.278199424234,419.86390997121174,34.988659164267645,2.0,0.22058823529411764,3498.8667861226977,16.96523169007763,0.19932066829808529,2.0,0.2426470588235294,0.08333333333333333,3386.381714429985,16.7147397727695,0.17980776115080466,0.0,3498.8667861226977,0.48487801748640497
M6C,9,24596,—,"23,289",km²,3.02,8144.3708609271525,407.21854304635764,33.93487858719647,2.0,0.19117647058823528,3472.709716436339,16.971628581835986,0.21225452293315183,2.0,0.2426470588235294,0.08333333333333333,3285.89292476653,16.312998866344756,0.17379785186801172,0.0,3472.709716436339,0.5001234508096731
M5N,10,16610,—,"18,496",km²,2.754,6031.227305737109,301.5613652868555,25.130113773904625,2.0,0.07352941176470588,2883.5432066831845,14.870471294697994,0.20351840683896363,2.0,0.2426470588235294,0.08333333333333333,2282.7618136677593,12.106920352749304,0.17165827249021878,0.0,2883.5432066831845,0.5917391154090057
M5M,11,25975,—,"25,976",km²,5.2,4995.192307692308,249.7596153846154,20.81330128205128,2.0,0.0,2526.7482714892685,13.566537114578772,0.18539975916567403,2.0,0.2426470588235294,0.08333333333333333,1794.1419627820912,10.068878840911573,0.167632924666191,0.0,2526.7482714892685,0.6518205320113304
M4R,12,11394,Toronto,"12,363",km²,1.854,6145.631067961165,307.2815533980583,25.606796116504857,2.0,0.08823529411764705,2881.339103411242,14.794652190316505,0.21052289252775935,2.0,0.2426470588235294,0.08333333333333333,2322.7850289835405,12.252478433456565,0.17824329176328432,0.0,2881.339103411242,0.5777627206076208
