zipcode,ID,"Population, 2016",city,population,unit,area,pop density,f_x_peak,lambda0,rho_mg1_array,radius_mg1_array,obj_mg1_array,lamb_endo_mg1_array,wait_endo_mg1_array,rho_pooling_array,radius_pooling_array,t_pooling_array,obj_pooling_array,lamb_endo_pooling_array,wait_endo_pooling_array,mode_opt_array,maximum profit,choice prob
M6R,0,19857,Toronto,"18,202",km²,2.347,8460.58798466127,423.0293992330635,35.252449936088624,2.0,0.08823529411764705,3449.279736053298,17.35533972058499,0.49917707408392215,2.0,0.15,0.08333333333333333,2835.755561675128,14.1718870234571,0.49563416652306236,0.0,3449.279736053298,0.49231584619082003
M6A,1,21048,Yorkville,"20,004",km²,5.6,3758.571428571429,187.92857142857144,15.660714285714286,1.9052631578947368,0.0,1994.0655702590366,11.040032546427376,0.12724130186647387,2.0,0.15,0.08333333333333333,968.1344579256606,6.341511373623873,0.4834410077110899,0.0,1994.0655702590366,0.7049507669326488
M6B,2,28522,—,"30,347",km²,5.3,5381.509433962265,269.07547169811323,22.42295597484277,2.0,0.0,2813.274777692663,14.894691134036334,0.3167320262074729,2.0,0.15,0.08333333333333333,1609.6869596290323,9.025103867547664,0.49359023947889985,0.0,2813.274777692663,0.6642608205067743
M6E,3,38041,Toronto,"40,751",km²,5.0,7608.2,380.41,31.700833333333335,2.0,0.07352941176470588,3260.3237500260147,16.57683052358719,0.46597624118792,2.0,0.15,0.08333333333333333,2480.958881307727,12.672478387477545,0.5050351834791459,0.0,3260.3237500260147,0.5229146612419396
M6H,4,44950,Toronto,"44,169",km²,4.66,9645.922746781116,482.2961373390558,40.19134477825465,2.0,0.11764705882352941,3592.2819327022253,17.845549798111467,0.5185551137525783,2.0,0.15,0.08333333333333333,3302.8180304213993,16.13046695595248,0.4984350494507746,0.0,3592.2819327022253,0.4440147473683618
M6K,5,40957,Toronto,"38,814",km²,2.79,14679.928315412186,733.9964157706094,61.16636798088411,2.0,0.22058823529411764,3997.2308895319647,19.133775255210338,0.46107337070623033,2.0,0.1602941176470588,0.08333333333333333,5266.212250322647,24.391554743835663,0.44735923401862066,1.0,5266.212250322647,0.3987739594323891
M5V,6,49195,Toronto,"28,887",km²,3.65,13478.082191780823,673.9041095890411,56.15867579908676,2.0,0.19117647058823528,3973.7200434741812,19.167238841510922,0.5091235913921351,2.0,0.15,0.08333333333333333,4831.305914846642,22.550143581701693,0.49763775759156215,1.0,4831.305914846642,0.4015433637070979
M6J,7,32684,Toronto,"31,255",km²,2.856,11443.977591036415,572.1988795518208,47.68323996265173,2.0,0.16176470588235295,3754.600599657132,18.34575978065771,0.4984779972749753,2.0,0.15,0.08333333333333333,4001.498802789889,19.057588053713523,0.505418629896363,1.0,4001.498802789889,0.3996705775161362
M6G,8,32086,Toronto,"34,749",km²,3.821,8397.278199424234,419.86390997121174,34.988659164267645,2.0,0.08823529411764705,3418.2664711927823,17.215509470666444,0.49987098641423616,2.0,0.15,0.08333333333333333,2804.219569278274,14.035828970276146,0.4992043448370133,0.0,3418.2664711927823,0.49203112899644563
M6C,9,24596,—,"23,289",km²,3.02,8144.3708609271525,407.21854304635764,33.93487858719647,2.0,0.07352941176470588,3439.944702037742,17.39029574779383,0.5075122656279258,2.0,0.15,0.08333333333333333,2720.086175755962,13.692500112609778,0.4894665471070309,0.0,3439.944702037742,0.5124608211904768
