FSA,Departure,origin_lat,origin_long,dest_lat,dest_long,biking_dist (m),biking_time (s),walking_dist (m),walking_time (s),driving_dist (m),driving_time (s),origin_addr,dest_addr
M6R,0,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
M6R,1,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
M6R,2,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
M6R,3,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
M6R,4,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
M6R,5,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
M6R,6,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
M6R,7,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
M6R,8,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
M6R,9,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
M6R,10,43.64970168,-79.45638503,43.64699023,-79.46275368,1803,448,1731,1326,1868,303,"211 Howard Park Ave, Toronto, ON M6R 1V9, Canada","High Park Dog Off Leash Area, 1873 Bloor St W, Toronto, ON M6R 2Z3, Canada"
