FSA,speed,ID,"Population, 2016",city,population,unit,area,pop density
M6R,16.610675169428436,0,19857,Toronto,"18,202",km²,2.347,8460.58798466127
M6A,17.543192635588746,1,21048,Yorkville,"20,004",km²,5.6,3758.571428571429
M6B,16.20954762471724,2,28522,—,"30,347",km²,5.3,5381.509433962265
M6E,15.000028749524567,3,38041,Toronto,"40,751",km²,5.0,7608.2
M6H,16.429259680667517,4,44950,Toronto,"44,169",km²,4.66,9645.922746781116
M6K,15.515142473151165,5,40957,Toronto,"38,814",km²,2.79,14679.928315412186
M5V,17.52556332665673,6,49195,Toronto,"28,887",km²,3.65,13478.082191780823
M6J,15.733037047330038,7,32684,Toronto,"31,255",km²,2.856,11443.977591036415
M6G,16.018152113174818,8,32086,Toronto,"34,749",km²,3.821,8397.278199424234
M6C,17.62722152851099,9,24596,—,"23,289",km²,3.02,8144.3708609271525
M5N,17.205116551819508,10,16610,—,"18,496",km²,2.754,6031.227305737109
M5M,17.90798920520626,11,25975,—,"25,976",km²,5.2,4995.192307692308
M4R,15.479937937168478,12,11394,Toronto,"12,363",km²,1.854,6145.631067961165
M5P,17.454940538953505,13,19423,Toronto,"21,137",km²,3.284,5914.4336175395865
M4V,15.633750325836523,14,18241,Toronto,"20,223",km²,2.729,6684.1333821912785
M5R,14.223344104748291,15,26496,Toronto,"26,436",km²,2.915,9089.536878216124
M5S,14.620040677055194,16,15372,Toronto,"17,234",km²,1.917,8018.779342723004
M5T,14.162956817376985,17,17748,Toronto,"18,957",km²,1.518,11691.699604743082
M5G,12.91743199328593,18,8423,Toronto,"3,689",km²,0.663,12704.374057315234
M5H,11.467291130937506,19,2005,Toronto,"2,203",km²,0.473,4238.900634249471
M5E,10.992172992227866,20,9118,Toronto,"5,224",km²,0.429,21254.079254079254
M5C,11.478505707534927,21,2951,Toronto,"3,149",km²,0.286,10318.18181818182
M5B,13.09065986155187,22,12785,Toronto,"8,874",km²,0.596,21451.342281879195
M4Y,13.965999583740475,23,30472,Toronto,"32,991",km²,0.973,31317.574511819115
M4X,16.061128678156937,24,20822,Toronto,"18,845",km²,1.159,17965.48748921484
M4W,16.08475001998652,25,14561,Toronto,"15,209",km²,4.513,3226.4569022822957
M4T,15.522286410890041,26,10463,Toronto,"9,629",km²,1.677,6239.117471675611
M4S,17.04775810338982,27,26506,Toronto,"30,411",km²,3.079,8608.63916856122
M4P,15.00733858895302,28,20039,Toronto,"19,404",km²,2.034,9852.015732546706
M4N,16.5974374499688,29,15330,—,"16,122",km²,4.894,3132.4070290151203
M3C,15.903577855652578,30,39153,Yorkville,"39,971",km²,9.9,3954.8484848484845
M4G,16.617562265765006,31,19076,Toronto,"18,801",km²,6.6,2890.3030303030305
M4H,17.3249064648594,32,19688,—,"16,939",km²,1.104,17833.333333333332
M4K,15.665954066607126,33,31583,Toronto,"31,399",km²,4.118,7669.499757163671
M4J,17.529649545200755,34,35738,Toronto,"41,891",km²,5.3,6743.018867924528
M5A,13.862201045897057,35,41078,Toronto,"40,959",km²,4.097,10026.360751769587
